246.298, 129.844, 7.701, 15.378 False
246.041, 129.841, 7.712, 15.411 False
245.784, 129.831, 7.727, 15.444 False
245.525, 129.824, 7.770, 15.477 False
245.265, 129.814, 7.815, 15.510 False
245.003, 129.808, 7.855, 15.543 False
244.740, 129.807, 7.853, 15.576 False
244.479, 129.804, 7.834, 15.609 False
244.219, 129.794, 7.788, 15.642 False
243.961, 129.787, 7.750, 15.675 False
243.704, 129.787, 7.710, 15.708 False
243.448, 129.785, 7.705, 15.741 False
243.191, 129.775, 7.708, 15.774 False
242.933, 129.768, 7.741, 15.807 False
242.674, 129.769, 7.769, 15.840 False
242.413, 129.767, 7.809, 15.873 False
242.153, 129.758, 7.821, 15.906 False
241.892, 129.752, 7.820, 15.939 False
241.632, 129.753, 7.794, 15.972 False
241.373, 129.751, 7.782, 16.005 False
241.114, 129.743, 7.770, 16.038 False
240.854, 129.737, 7.790, 16.071 False
240.594, 129.739, 7.809, 16.104 False
240.332, 129.738, 7.844, 16.137 False
240.070, 129.730, 7.862, 16.170 False
239.808, 129.725, 7.878, 16.203 False
239.545, 129.727, 7.873, 16.236 False
239.282, 129.727, 7.886, 16.269 False
239.019, 129.719, 7.892, 16.302 False
238.756, 129.715, 7.915, 16.335 False
238.491, 129.707, 7.938, 16.368 False
238.226, 129.702, 7.954, 16.401 False
237.961, 129.704, 7.939, 16.434 False
237.697, 129.703, 7.932, 16.467 False
237.433, 129.695, 7.919, 16.500 False
237.169, 129.690, 7.933, 16.533 False
236.904, 129.692, 7.948, 16.566 False
236.638, 129.692, 7.974, 16.599 False
236.372, 129.684, 7.976, 16.632 False
236.107, 129.679, 7.967, 16.665 False
235.842, 129.682, 7.935, 16.698 False
235.578, 129.682, 7.919, 16.731 False
235.315, 129.675, 7.905, 16.764 False
235.051, 129.671, 7.923, 16.797 False
234.786, 129.664, 7.949, 16.830 False
234.520, 129.660, 7.974, 16.863 False
234.255, 129.662, 7.963, 16.896 False
233.990, 129.662, 7.944, 16.929 False
233.726, 129.654, 7.906, 16.962 False
233.463, 129.649, 7.884, 16.995 False
233.201, 129.652, 7.866, 17.028 False
232.939, 129.652, 7.882, 17.061 False
232.675, 129.645, 7.898, 17.094 False
232.411, 129.641, 7.925, 17.127 False
232.147, 129.645, 7.929, 17.160 False
231.882, 129.645, 7.928, 17.193 False
231.619, 129.639, 7.908, 17.226 False
